epoch,accuracy,auc,categorical_accuracy,categorical_crossentropy,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_categorical_accuracy,val_categorical_crossentropy,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.7556666731834412,0.825454592704773,0.7556666731834412,0.9403181672096252,952261.0,34215.0,1.210730791091919,0.946117103099823,0.38683828711509705,6177921.0,600773.0,0.8642598390579224,0.933184027671814,0.8642598390579224,0.5442965030670166,81700.0,13104.0,0.5779742002487183,0.9464263916015625,0.7391393184661865,1239672.0,231494.0
1,0.8726048469543457,0.9341748952865601,0.8726048469543457,0.46111685037612915,306901.0,107526.0,0.6508834362030029,0.9205663800239563,0.8023861646652222,6104610.0,1246133.0,0.874100387096405,0.9467127323150635,0.874100387096405,0.3925109803676605,54117.0,24307.0,0.4293748438358307,0.9142259359359741,0.8272093534469604,1228469.0,259077.0
2,0.8905928730964661,0.9525865316390991,0.8905928730964661,0.34823107719421387,219124.0,122324.0,0.520607054233551,0.9159997701644897,0.8589058518409729,6089812.0,1333910.0,0.886303722858429,0.9559399485588074,0.886303722858429,0.331699401140213,45246.0,25693.0,0.36970892548561096,0.9125019907951355,0.8555336594581604,1227083.0,267948.0
3,0.9017201066017151,0.9618922472000122,0.9017201066017151,0.2976061999797821,184354.0,119023.0,0.45738205313682556,0.9199954271316528,0.881294310092926,6093113.0,1368680.0,0.8942572474479675,0.9618077278137207,0.8942572474479675,0.3001209795475006,40221.0,25283.0,0.33889132738113403,0.9152305126190186,0.8715779781341553,1227493.0,272973.0
4,0.9098403453826904,0.9675735831260681,0.9098403453826904,0.26775577664375305,164616.0,113335.0,0.4163670837879181,0.9245315194129944,0.8940036296844482,6098801.0,1388418.0,0.8999885320663452,0.9657641053199768,0.8999885320663452,0.27932026982307434,37119.0,24842.0,0.31855496764183044,0.9174456596374512,0.8814824223518372,1227934.0,276075.0
5,0.9155414700508118,0.9713388085365295,0.9155414700508118,0.24697783589363098,151499.0,108904.0,0.38676679134368896,0.9278991222381592,0.9024496674537659,6103232.0,1401535.0,0.90402752161026,0.9687302112579346,0.90402752161026,0.2638583481311798,34884.0,24306.0,0.303274542093277,0.9196804165840149,0.888618528842926,1228470.0,278310.0
6,0.9200069308280945,0.9740536212921143,0.9200069308280945,0.2316804826259613,141724.0,104786.0,0.3645484447479248,0.9308843016624451,0.9087437987327576,6107350.0,1411310.0,0.9064637422561646,0.9702615141868591,0.9064637422561646,0.2548748552799225,33635.0,24110.0,0.2942413091659546,0.9206043481826782,0.8926064968109131,1228666.0,279559.0
7,0.9234511256217957,0.9761055707931519,0.9234511256217957,0.2199629247188568,134555.0,101319.0,0.34731295704841614,0.9333339333534241,0.9133599400520325,6110817.0,1418479.0,0.9088807702064514,0.9716737270355225,0.9088807702064514,0.24696341156959534,32524.0,23774.0,0.28613194823265076,0.9219101071357727,0.8961538076400757,1229002.0,280670.0
8,0.9263615608215332,0.9777101874351501,0.9263615608215332,0.2106371968984604,128610.0,98307.0,0.33358776569366455,0.9354403614997864,0.9171879291534424,6113829.0,1424424.0,0.9103431105613708,0.9726080298423767,0.9103431105613708,0.24136747419834137,31756.0,23520.0,0.2802126407623291,0.9228746294975281,0.89860600233078,1229256.0,281438.0
9,0.9286918640136719,0.9790129661560059,0.9286918640136719,0.20304816961288452,123909.0,95804.0,0.3224014639854431,0.9371747970581055,0.9202148914337158,6116332.0,1429125.0,0.913136899471283,0.9740680456161499,0.913136899471283,0.2337009161710739,30592.0,22884.0,0.27218011021614075,0.9250898361206055,0.90232253074646,1229892.0,282602.0
10,0.930718183517456,0.9801163673400879,0.930718183517456,0.19649454951286316,119768.0,93328.0,0.31273123621940613,0.9388651847839355,0.9228813052177429,6118808.0,1433266.0,0.9142991304397583,0.9745246767997742,0.9142991304397583,0.2304457724094391,30110.0,22792.0,0.2685575485229492,0.925486147403717,0.9038615226745605,1229984.0,283084.0
11,0.9325984120368958,0.9809584617614746,0.9325984120368958,0.19140952825546265,116216.0,91254.0,0.3049565255641937,0.9402816295623779,0.9251683950424194,6120882.0,1436818.0,0.9152761697769165,0.9749399423599243,0.9152761697769165,0.22782860696315765,29766.0,22702.0,0.2655414044857025,0.9258419871330261,0.9049598574638367,1230074.0,283428.0
12,0.9341521263122559,0.9817686676979065,0.9341521263122559,0.18666623532772064,113305.0,89592.0,0.2980320155620575,0.9414171576499939,0.9270427823066711,6122544.0,1439729.0,0.9164735078811646,0.9754177331924438,0.9164735078811646,0.22506605088710785,29215.0,22525.0,0.2623472213745117,0.9265099167823792,0.9067191481590271,1230251.0,283979.0
13,0.9354521632194519,0.9823843240737915,0.9354521632194519,0.182833731174469,110758.0,88103.0,0.29212456941604614,0.9424306154251099,0.928682804107666,6124033.0,1442276.0,0.9172813296318054,0.9757592678070068,0.9172813296318054,0.22279232740402222,28814.0,22461.0,0.2596963346004486,0.9267992377281189,0.9079995155334473,1230315.0,284380.0
14,0.9365957379341125,0.9829720258712769,0.9365957379341125,0.17928004264831543,108308.0,86772.0,0.28682419657707214,0.9433417320251465,0.9302603602409363,6125364.0,1444726.0,0.9179039001464844,0.9761557579040527,0.9179039001464844,0.22064118087291718,28577.0,22324.0,0.25717756152153015,0.9272693991661072,0.9087562561035156,1230452.0,284617.0
15,0.9376813173294067,0.9834548830986023,0.9376813173294067,0.17626769840717316,106436.0,85546.0,0.28211915493011475,0.944165825843811,0.931465744972229,6126590.0,1446598.0,0.9196727871894836,0.9769007563591003,0.9196727871894836,0.21671868860721588,27907.0,21950.0,0.25290578603744507,0.9285567998886108,0.9108954668045044,1230826.0,285287.0
16,0.938681960105896,0.9839339852333069,0.938681960105896,0.17321491241455078,104552.0,84441.0,0.27762454748153687,0.9449150562286377,0.9326788783073425,6127695.0,1448482.0,0.9190917015075684,0.9766272902488708,0.9190917015075684,0.21771986782550812,28019.0,22133.0,0.2535492777824402,0.9279778003692627,0.9105378985404968,1230643.0,285175.0
17,0.9395724534988403,0.984287679195404,0.9395724534988403,0.1709565371274948,103084.0,83482.0,0.27397051453590393,0.9455587267875671,0.9336241483688354,6128654.0,1449950.0,0.9205061197280884,0.97734135389328,0.9205061197280884,0.21438324451446533,27524.0,21880.0,0.24990326166152954,0.9288570880889893,0.9121183753013611,1230896.0,285670.0
18,0.9402241110801697,0.9846932291984558,0.9402241110801697,0.1685274839401245,101654.0,82553.0,0.2703622877597809,0.946182131767273,0.9345449209213257,6129583.0,1451380.0,0.9204582571983337,0.9772107005119324,0.9204582571983337,0.214602991938591,27468.0,21891.0,0.24981027841567993,0.9288368225097656,0.9122971892356873,1230885.0,285726.0
19,0.9410277009010315,0.9850199818611145,0.9410277009010315,0.1664506047964096,100174.0,81770.0,0.267098993062973,0.9467167854309082,0.9354978799819946,6130366.0,1452860.0,0.921329915523529,0.9775925278663635,0.921329915523529,0.21265915036201477,27094.0,21699.0,0.24755121767520905,0.9295026659965515,0.9134913086891174,1231077.0,286100.0
20,0.9416226744651794,0.9853278994560242,0.9416226744651794,0.16448503732681274,98888.0,81058.0,0.2641238570213318,0.9472004771232605,0.9363259077072144,6131078.0,1454146.0,0.9212564826011658,0.9775823950767517,0.9212564826011658,0.21244597434997559,27033.0,21750.0,0.24708372354507446,0.9293627142906189,0.9136860966682434,1231026.0,286161.0
21,0.9422755837440491,0.9855661988258362,0.9422755837440491,0.16266576945781708,97552.0,80118.0,0.2613343894481659,0.9478262662887573,0.9371861815452576,6132018.0,1455482.0,0.921444833278656,0.9777306914329529,0.921444833278656,0.21152058243751526,26970.0,21784.0,0.2459094077348709,0.9292745590209961,0.9138872623443604,1230992.0,286224.0
22,0.9429123997688293,0.9858896732330322,0.9429123997688293,0.16097480058670044,96513.0,79432.0,0.25879549980163574,0.9482848644256592,0.9378551840782166,6132704.0,1456521.0,0.9217322468757629,0.9777634739875793,0.9217322468757629,0.21106015145778656,26769.0,21706.0,0.24518746137619019,0.9295559525489807,0.914529025554657,1231070.0,286425.0
23,0.9434996247291565,0.9861545562744141,0.9434996247291565,0.15932853519916534,95586.0,78556.0,0.2561149001121521,0.9488568902015686,0.9384520649909973,6133580.0,1457448.0,0.9221824407577515,0.9780328273773193,0.9221824407577515,0.20968610048294067,26615.0,21555.0,0.2435688078403473,0.9300466775894165,0.9150207042694092,1231221.0,286579.0
24,0.94383704662323,0.9863841533660889,0.94383704662323,0.15776687860488892,94635.0,78247.0,0.2537795901298523,0.9490793347358704,0.9390644431114197,6133889.0,1458399.0,0.9222047924995422,0.9780271649360657,0.9222047924995422,0.20980408787727356,26552.0,21579.0,0.24346229434013367,0.9299885630607605,0.9152218699455261,1231197.0,286642.0
25,0.9443025588989258,0.986557126045227,0.9443025588989258,0.15643282234668732,93870.0,77778.0,0.2516411244869232,0.9493943452835083,0.9395570158958435,6134358.0,1459164.0,0.9223484396934509,0.978039026260376,0.9223484396934509,0.20947372913360596,26504.0,21569.0,0.24293109774589539,0.9300296306610107,0.9153751134872437,1231207.0,286690.0
26,0.944746196269989,0.9867620468139648,0.944746196269989,0.15514230728149414,93103.0,77216.0,0.24951216578483582,0.9497666954994202,0.9400508999824524,6134920.0,1459931.0,0.9222718477249146,0.9777675867080688,0.9222718477249146,0.21003904938697815,26514.0,21597.0,0.24328069388866425,0.9299428462982178,0.9153432250022888,1231179.0,286680.0
27,0.9452980160713196,0.9869939088821411,0.9452980160713196,0.1537346988916397,92040.0,76613.0,0.24757981300354004,0.9501738548278809,0.9407353401184082,6135523.0,1460994.0,0.922639012336731,0.9781932234764099,0.922639012336731,0.20854274928569794,26344.0,21507.0,0.24158897995948792,0.9302529096603394,0.9158859848976135,1231269.0,286850.0
28,0.9456335306167603,0.9871888160705566,0.9456335306167603,0.15255998075008392,91488.0,76114.0,0.24550028145313263,0.9505001306533813,0.9410908222198486,6136022.0,1461546.0,0.9228305816650391,0.9782094359397888,0.9228305816650391,0.20813404023647308,26274.0,21502.0,0.24101802706718445,0.9302838444709778,0.9161095023155212,1231274.0,286920.0
29,0.9459561109542847,0.9873236417770386,0.9459561109542847,0.15154413878917694,90834.0,75807.0,0.24395789206027985,0.9507108926773071,0.9415119290351868,6136329.0,1462200.0,0.9232871532440186,0.9783232808113098,0.9232871532440186,0.20735444128513336,26116.0,21388.0,0.24005870521068573,0.9306633472442627,0.9166139960289001,1231388.0,287078.0
30,0.9464409947395325,0.9875288009643555,0.9464409947395325,0.15026837587356567,89905.0,75195.0,0.24204593896865845,0.9511188864707947,0.9421100616455078,6136941.0,1463129.0,0.9236831068992615,0.9785917401313782,0.9236831068992615,0.20627546310424805,25926.0,21280.0,0.2388073056936264,0.9310318231582642,0.9172206521034241,1231496.0,287268.0
31,0.946706235408783,0.9876495003700256,0.946706235408783,0.1492651253938675,89467.0,74825.0,0.24056404829025269,0.9513615369796753,0.942392110824585,6137311.0,1463567.0,0.9226837158203125,0.9779433012008667,0.9226837158203125,0.20906788110733032,26295.0,21584.0,0.24140781164169312,0.9300317764282227,0.9160424470901489,1231192.0,286899.0
32,0.9468440413475037,0.9878263473510742,0.9468440413475037,0.14829714596271515,89120.0,74652.0,0.23881570994853973,0.9514794945716858,0.9426155686378479,6137484.0,1463914.0,0.9236351847648621,0.9784901142120361,0.9236351847648621,0.2061537504196167,25903.0,21373.0,0.2383648157119751,0.9307564496994019,0.9172940850257874,1231403.0,287291.0
33,0.9472265243530273,0.9879137873649597,0.9472265243530273,0.14746975898742676,88415.0,74151.0,0.23747923970222473,0.9518114924430847,0.9430695176124573,6137985.0,1464619.0,0.9238970279693604,0.9786716103553772,0.9238970279693604,0.2055557370185852,25761.0,21365.0,0.23762959241867065,0.9308123588562012,0.917747437953949,1231411.0,287433.0
34,0.9474982619285583,0.9880752563476562,0.9474982619285583,0.1464236080646515,87898.0,73859.0,0.23599371314048767,0.9520083069801331,0.9434024095535278,6138277.0,1465136.0,0.9230892062187195,0.9780294299125671,0.9230892062187195,0.20826350152492523,26035.0,21515.0,0.24015645682811737,0.9302986264228821,0.9168726205825806,1231261.0,287159.0
35,0.9478517770767212,0.9882033467292786,0.9478517770767212,0.14560545980930328,87368.0,73514.0,0.23465071618556976,0.9522382020950317,0.9437436461448669,6138622.0,1465666.0,0.9240853786468506,0.9785352349281311,0.9240853786468506,0.20576629042625427,25685.0,21292.0,0.2375195473432541,0.9310494661331177,0.9179901480674744,1231484.0,287509.0
36,0.948086142539978,0.988335132598877,0.948086142539978,0.1447909027338028,87073.0,73010.0,0.23330427706241608,0.952559232711792,0.9439336061477661,6139126.0,1465961.0,0.924829363822937,0.9788826704025269,0.924829363822937,0.20397837460041046,25421.0,21136.0,0.2356068193912506,0.9315785765647888,0.9188330769538879,1231640.0,287773.0
37,0.9484557509422302,0.9884487390518188,0.9484557509422302,0.14389576017856598,86284.0,72572.0,0.2319529503583908,0.952854573726654,0.9444416761398315,6139564.0,1466750.0,0.9239704608917236,0.9784023761749268,0.9239704608917236,0.20625026524066925,25695.0,21341.0,0.23771218955516815,0.9308995008468628,0.9179581999778748,1231435.0,287499.0
38,0.9485993385314941,0.9885375499725342,0.9485993385314941,0.1432625651359558,86021.0,72463.0,0.23082494735717773,0.9529300928115845,0.9446110129356384,6139673.0,1467013.0,0.9252923130989075,0.979215145111084,0.9252923130989075,0.2024753838777542,25264.0,20996.0,0.23381836712360382,0.932035505771637,0.919334352016449,1231780.0,287930.0
39,0.9488652348518372,0.9886347651481628,0.9488652348518372,0.14245666563510895,85620.0,72107.0,0.2297060489654541,0.9531627297401428,0.9448692202568054,6140029.0,1467414.0,0.9247303605079651,0.9787821769714355,0.9247303605079651,0.20437465608119965,25413.0,21198.0,0.2355881631374359,0.9313933849334717,0.9188585877418518,1231578.0,287781.0
40,0.9489012956619263,0.988745927810669,0.9489012956619263,0.14175201952457428,85327.0,72114.0,0.22853252291679382,0.9531672596931458,0.9450578689575195,6140022.0,1467707.0,0.9244717359542847,0.978689968585968,0.9244717359542847,0.20501643419265747,25439.0,21286.0,0.23612558841705322,0.9311224222183228,0.9187755584716797,1231490.0,287755.0
41,0.9492251873016357,0.9888392686843872,0.9492251873016357,0.1410249024629593,84806.0,71607.0,0.22728915512561798,0.9534969925880432,0.9453933238983154,6140529.0,1468228.0,0.9243472218513489,0.9786548614501953,0.9243472218513489,0.20481394231319427,25514.0,21275.0,0.23576882481575012,0.931138813495636,0.9185361266136169,1231501.0,287680.0
42,0.9496392011642456,0.9889447093009949,0.9496392011642456,0.14030912518501282,84193.0,71116.0,0.2261306494474411,0.9538195133209229,0.9457880258560181,6141020.0,1468841.0,0.9254168272018433,0.979114830493927,0.9254168272018433,0.20261286199092865,25092.0,20966.0,0.2334684133529663,0.9321637749671936,0.9198835492134094,1231810.0,288102.0
43,0.9497937560081482,0.9890487194061279,0.9497937560081482,0.13961173593997955,83942.0,71033.0,0.22510898113250732,0.9538784027099609,0.9459496736526489,6141103.0,1469092.0,0.9251454472541809,0.9790256023406982,0.9251454472541809,0.20298585295677185,25192.0,21092.0,0.23369336128234863,0.9317618608474731,0.9195642471313477,1231684.0,288002.0
